"Severity","Type","Rule","Message","File","Line","Status","Effort","CreatedDate","CleanCodeAttribute","Impact"
"MINOR","CODE_SMELL","typescript:S2486","Handle this exception or don't catch it at all.","apps/web/src/app/app/admin/schools/page.tsx","435","OPEN","1h","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S2486","Handle this exception or don't catch it at all.","apps/web/src/app/app/admin/schools/page.tsx","479","OPEN","1h","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/app/app/ai-tools/tutor/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1874","'useChat' is deprecated.","apps/web/src/app/app/ai-tools/tutor/page.tsx","5","OPEN","15min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1874","'isLoading' is deprecated.","apps/web/src/app/app/ai-tools/tutor/page.tsx","44","OPEN","15min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1874","'useChat' is deprecated.","apps/web/src/app/app/ai-tools/tutor/page.tsx","45","OPEN","15min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/app/app/dashboard/page.tsx",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6759","Mark the props of the component as read-only.","apps/web/src/app/app/dashboard/page.tsx","121","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6582","Prefer using an optional chain expression instead, as it's more concise and easier to read.","apps/web/src/app/app/dashboard/page.tsx","387","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S7721","Move async function 'fetchPracticeQuestions' to the outer scope.","apps/web/src/app/app/learn/[moduleId]/[topicId]/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","EFFICIENT","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/app/app/learn/[moduleId]/[topicId]/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S4323","Replace this union type with a type alias.","apps/web/src/app/app/learn/[moduleId]/[topicId]/page.tsx","112","OPEN","5min","2026-01-07T10:45:06+0530","DISTINCT","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1874","'isLoading' is deprecated.","apps/web/src/app/app/learn/[moduleId]/[topicId]/page.tsx","271","OPEN","15min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6479","Do not use Array index in keys","apps/web/src/app/app/learn/[moduleId]/[topicId]/page.tsx","495","OPEN","5min","2026-01-07T10:45:06+0530","LOGICAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/app/app/learn/[moduleId]/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/app/app/learn/[moduleId]/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/app/app/progress/page.tsx",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/app/app/progress/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/app/app/progress/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6853","A form label must be associated with a control.","apps/web/src/app/app/settings/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","LOGICAL","RELIABILITY"
"MAJOR","CODE_SMELL","typescript:S6853","A form label must be associated with a control.","apps/web/src/app/app/settings/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","LOGICAL","RELIABILITY"
"MAJOR","CODE_SMELL","typescript:S6853","A form label must be associated with a control.","apps/web/src/app/app/settings/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","LOGICAL","RELIABILITY"
"MAJOR","CODE_SMELL","typescript:S6853","A form label must be associated with a control.","apps/web/src/app/app/settings/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","LOGICAL","RELIABILITY"
"MAJOR","CODE_SMELL","typescript:S6772","Ambiguous spacing before next element span","apps/web/src/app/app/settings/page.tsx","204","OPEN","5min","2026-01-07T10:45:06+0530","FORMATTED","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/app/app/student/assessments/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6759","Mark the props of the component as read-only.","apps/web/src/app/app/teacher/assessments/[classId]/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/app/app/teacher/assessments/[classId]/page.tsx","126","OPEN","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/app/app/teacher/assessments/[classId]/page.tsx","172","OPEN","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/app/app/teacher/assessments/[classId]/page.tsx","249","OPEN","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/app/app/teacher/assessments/page.tsx",,"CLOSED","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/app/app/teacher/assessments/page.tsx","89","OPEN","2min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1128","Remove this unused import of 'Button'.","apps/web/src/components/admin/DashboardMetrics.tsx",,"CLOSED","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
