"Issue ID","Rule","Severity","Type","File","Line","Message","Status","Effort","Quality Impact","Quick Fix Available"
"3762efce-71f6-49dc-8b8d-6b25dea666f4","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","46","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"c894851f-d59a-4f84-8b01-40bc662179e8","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","52","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"1b9dbf04-db61-49b1-a57a-df3307bf5e58","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","58","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"529626bd-5843-4a59-a1b5-60e54c27a25a","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","64","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"f73a2d81-6f08-4d96-9316-cc4f18696c6f","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","70","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"17a643c0-c7cc-4fbd-9cf4-6af828075883","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","76","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"f968c152-784d-4091-8ac4-3568d81db39a","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","84","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"d84f08ac-9b94-4a25-b3ae-af37fdd3ebdb","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","89","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"f03e3f70-9415-4f25-837a-1b4e78efcf40","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","95","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"ea7d15d0-326c-4f88-b97e-557b4f5ad339","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","101","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"83b4034b-577f-4851-b6e7-32e980bd17a7","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","106","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"8bc80a7d-b226-41e5-aa84-f91617c162dc","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","124","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"ef72449b-d210-4292-9bf6-d0be69501297","typescript:S6827","MINOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","125","Anchors must have content and the content must be accessible by a screen reader.","OPEN","5min","MAINTAINABILITY","No"
"7c4c309b-cdef-41bb-82c1-d65dc2f1cfcd","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","134","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"9593bc59-c20e-417d-9060-1755fa69dd72","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","142","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"29a4e5c2-6a64-430d-8015-21a599583f59","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","149","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"9962f9b7-f894-4192-ab22-bcff50a983bd","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","158","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"43a9ecf7-4b64-4ae6-9536-58e53ab6abb2","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","162","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"2af5939c-1c7f-494f-aaeb-7d9170946f62","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","165","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"0130b9bd-58f0-43ba-a7a2-961dbe8d768e","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","171","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"03cc1de8-21f1-4d0f-b8a2-3f92bd44b605","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","179","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"a1ad2381-0edd-4b42-a6f1-bfa2571cb0f3","typescript:S6478","MAJOR","CODE_SMELL","apps/web/src/components/ui/markdown-renderer.tsx","191","Move this component definition out of the parent component and pass data as props.","OPEN","5min","MAINTAINABILITY","No"
"f2713717-c01b-457f-a421-afe7e3447535","typescript:S5256","MAJOR","BUG","apps/web/src/components/ui/table.tsx","14","Add a valid header row or column to this ""<table>"".","OPEN","2min","RELIABILITY","No"
"1aa0b17c-7e0a-4d9e-a550-7f923ff1942f","typescript:S6772","MAJOR","CODE_SMELL","apps/web/src/components/voice/VoiceChat.tsx","236","Ambiguous spacing after previous element span","OPEN","5min","MAINTAINABILITY","No"
"4d929724-6ad5-4059-b3ec-9e725d9a495b","typescript:S6772","MAJOR","CODE_SMELL","apps/web/src/components/voice/VoiceChat.tsx","241","Ambiguous spacing after previous element span","OPEN","5min","MAINTAINABILITY","No"
"0fe6f444-5a31-457d-a5e2-7198620f42b7","typescript:S4323","MINOR","CODE_SMELL","apps/web/src/hooks/auth/useProfileSetupState.ts","11","Replace this union type with a type alias.","OPEN","5min","MAINTAINABILITY","No"
